train_loss,step,epoch
-47.37549591064453,49,12
-60.14861297607422,99,24
-60.3955192565918,149,37
-62.029701232910156,199,49
-62.1931037902832,249,62
-63.868038177490234,299,74
-65.12242126464844,349,87
-66.5292739868164,399,99
