epoch,step,train_loss
12,49,-54.62034606933594
24,99,-61.045570373535156
37,149,-63.6883430480957
49,199,-64.88160705566406
62,249,-67.06320190429688
74,299,-68.32962799072266
87,349,-69.3363265991211
99,399,-69.21820068359375
112,449,-69.98135375976562
124,499,-70.78517150878906
137,549,-70.3038101196289
149,599,-71.57352447509766
162,649,-71.87626647949219
174,699,-71.49312591552734
187,749,-72.56094360351562
199,799,-72.21204376220703
