epoch,step,train_loss
12,49,-57.425819396972656
24,99,-59.78402328491211
37,149,-62.64391326904297
49,199,-65.63768005371094
62,249,-67.6312255859375
74,299,-69.17731475830078
87,349,-69.71614837646484
99,399,-71.21658325195312
